ds,yhat,yhat_lower,yhat_upper
2026-01-01,806.6803377184633,754.0193257371243,856.3285261127963
2026-01-02,814.4997211802151,763.6952418607062,864.7954052001663
2026-01-03,558.8656600237978,507.60157621144623,607.1822136712416
2026-01-04,558.9103416057316,510.18042623249636,607.9868336872147
2026-01-05,805.8313581824732,753.3492487578263,854.7649855138636
2026-01-06,800.6001779113445,752.9671603411325,851.6343248771902
2026-01-07,802.1754209329913,751.9079449919175,856.5656735797272
2026-01-08,800.9971301764874,748.0170933335653,850.7246279722921
2026-01-09,808.4963036371225,758.2778730489599,860.6418110930966
2026-01-10,552.5891748900323,499.3563146627001,603.6825351319198
2026-01-11,552.4107428208512,500.65894752091987,605.0836900040518
2026-01-12,799.1615946654372,749.0777430377018,850.1246457940525
2026-01-13,793.8163061746424,739.8638796626858,849.7752458927614
2026-01-14,795.3366260963114,746.3177121169424,843.8045800710706
2026-01-15,794.165637530221,745.3262872138145,846.4893424603187
2026-01-16,801.7371665450878,747.9910716204593,851.997452247536
2026-01-17,545.9699291025322,492.50560223743537,600.2501542783078
2026-01-18,546.0009220185697,497.13425442449716,597.0923535524429
2026-01-19,793.0321071908568,741.8628407756844,842.6290933061756
2026-01-20,788.03867814738,736.5139496347717,839.5451524409382
2026-01-21,789.9821214119987,737.4798343703272,842.8725925287112
2026-01-22,789.3042703280136,739.599523895927,842.0235515404249
2026-01-23,797.4366264811151,745.7297617965837,847.2615740014177
2026-01-24,542.2944439978526,494.2576529491892,591.5035138849022
2026-01-25,543.0100860363893,489.83446111236475,593.3222478572711
2026-01-26,790.7797054669403,741.8692102135988,841.5660435257284
2026-01-27,786.5715406977915,735.4345855216159,840.6907660447323
2026-01-28,789.3390400379535,736.4823476555517,840.1740927317937
2026-01-29,789.5150121174529,736.336270763378,842.4773397558085
2026-01-30,798.5210763382661,747.9191919127179,846.0624025058689
2026-01-31,544.2619064168051,494.4450077021658,592.7945260648447
2026-02-01,545.8587731325634,492.7039727561234,597.0551396196404
2026-02-02,794.4964341553338,742.4723503641118,846.707103421229
2026-02-03,791.1316569871017,738.2238602603088,841.0557622723176
2026-02-04,794.7065827639309,744.9237377695715,845.5394387192823
2026-02-05,795.6431223287123,745.6232867001662,847.7236777012339
2026-02-06,805.3526520124584,751.5446111906523,855.7930774514798
2026-02-07,551.7304955270661,501.24320231387793,604.0978836334286
2026-02-08,553.8896914163613,502.827166671226,602.781657971827
2026-02-09,803.0080875119481,752.6769674774229,851.3763335434986
2026-02-10,800.0370423617935,750.5295033767449,847.9866096228392
2026-02-11,803.9149359768045,750.9290363277885,854.9120645160426
2026-02-12,805.0616765670276,754.0568267610571,853.5333638609674
2026-02-13,814.8884669484514,766.1046974205664,868.8408652198747
2026-02-14,561.2923142450559,511.90747592304047,610.989922561164
2026-02-15,563.3897807108466,508.0147857209563,613.4415171730851
2026-02-16,812.3640166337073,765.3351118099158,864.3552026872505
2026-02-17,809.1733560879813,758.5354566480435,862.4086554059065
2026-02-18,812.7646798267394,761.5733247276263,862.306351915224
2026-02-19,813.5677351462057,762.9973552979346,863.4054272977867
2026-02-20,823.0046806484133,768.6101161518784,874.2510091085375
2026-02-21,568.9843447726175,521.0640148102533,622.9751502050152
2026-02-22,570.6357020200683,520.4937062778639,622.3475504107934
2026-02-23,819.1546146474064,768.6317486537779,867.0102127028819
2026-02-24,815.5121279266071,765.7067540354293,869.0925624112567
2026-02-25,818.6675309017749,765.6929420388371,867.8510558259394
2026-02-26,819.062380258158,766.9268337623641,871.3158224356366
2026-02-27,828.1297628850176,775.7088327506809,880.2754025673809
2026-02-28,573.78829337539,522.5884687749611,622.8883765266856
2026-03-01,575.1753572258515,523.6807788102966,622.5376421390735
