ds,yhat,provisioned_limit,delta,financial_impact
2026-01-01,806.6803377184633,1000.0,193.3196622815367,9.665983114076836
2026-01-02,814.4997211802151,1000.0,185.50027881978485,9.275013940989243
2026-01-03,558.8656600237978,1000.0,441.1343399762022,22.056716998810113
2026-01-04,558.9103416057316,1000.0,441.08965839426844,22.054482919713422
2026-01-05,805.8313581824732,1000.0,194.1686418175268,9.708432090876341
2026-01-06,800.6001779113445,1000.0,199.39982208865547,9.969991104432774
2026-01-07,802.1754209329913,1000.0,197.8245790670087,9.891228953350435
2026-01-08,800.9971301764874,1000.0,199.00286982351258,9.95014349117563
2026-01-09,808.4963036371225,1000.0,191.50369636287746,9.575184818143873
2026-01-10,552.5891748900323,1000.0,447.41082510996773,22.370541255498388
2026-01-11,552.4107428208512,1000.0,447.58925717914883,22.379462858957442
2026-01-12,799.1615946654372,1000.0,200.83840533456282,10.041920266728141
2026-01-13,793.8163061746424,1000.0,206.18369382535764,10.309184691267882
2026-01-14,795.3366260963114,1000.0,204.66337390368858,10.23316869518443
2026-01-15,794.165637530221,1000.0,205.83436246977897,10.291718123488948
2026-01-16,801.7371665450878,1000.0,198.2628334549122,9.91314167274561
2026-01-17,545.9699291025322,1000.0,454.0300708974678,22.70150354487339
2026-01-18,546.0009220185697,1000.0,453.99907798143033,22.699953899071517
2026-01-19,793.0321071908568,1000.0,206.96789280914322,10.348394640457162
2026-01-20,788.03867814738,1000.0,211.96132185262002,10.598066092631
2026-01-21,789.9821214119987,1000.0,210.01787858800128,10.500893929400064
2026-01-22,789.3042703280136,1000.0,210.69572967198644,10.534786483599323
2026-01-23,797.4366264811151,1000.0,202.56337351888487,10.128168675944245
2026-01-24,542.2944439978526,1000.0,457.70555600214743,22.885277800107374
2026-01-25,543.0100860363893,1000.0,456.98991396361066,22.849495698180533
2026-01-26,790.7797054669403,1000.0,209.2202945330597,10.461014726652985
2026-01-27,786.5715406977915,1000.0,213.42845930220847,10.671422965110423
2026-01-28,789.3390400379535,1000.0,210.6609599620465,10.533047998102326
2026-01-29,789.5150121174529,1000.0,210.4849878825471,10.524249394127356
2026-01-30,798.5210763382661,1000.0,201.47892366173392,10.073946183086697
2026-01-31,544.2619064168051,1000.0,455.7380935831949,22.786904679159747
2026-02-01,545.8587731325634,1000.0,454.14122686743656,22.70706134337183
2026-02-02,794.4964341553338,1000.0,205.50356584466624,10.275178292233313
2026-02-03,791.1316569871017,1000.0,208.86834301289832,10.443417150644917
2026-02-04,794.7065827639309,1000.0,205.2934172360691,10.264670861803456
2026-02-05,795.6431223287123,1000.0,204.35687767128775,10.217843883564388
2026-02-06,805.3526520124584,1000.0,194.6473479875416,9.73236739937708
2026-02-07,551.7304955270661,1000.0,448.26950447293393,22.4134752236467
2026-02-08,553.8896914163613,1000.0,446.1103085836387,22.305515429181938
2026-02-09,803.0080875119481,1000.0,196.99191248805187,9.849595624402594
2026-02-10,800.0370423617935,1000.0,199.9629576382065,9.998147881910326
2026-02-11,803.9149359768045,1000.0,196.0850640231955,9.804253201159776
2026-02-12,805.0616765670276,1000.0,194.93832343297242,9.746916171648621
2026-02-13,814.8884669484514,1000.0,185.11153305154858,9.25557665257743
2026-02-14,561.2923142450559,1000.0,438.7076857549441,21.93538428774721
2026-02-15,563.3897807108466,1000.0,436.6102192891534,21.830510964457673
2026-02-16,812.3640166337073,1000.0,187.63598336629275,9.381799168314638
2026-02-17,809.1733560879813,1000.0,190.82664391201865,9.541332195600933
2026-02-18,812.7646798267394,1000.0,187.23532017326056,9.361766008663029
2026-02-19,813.5677351462057,1000.0,186.43226485379432,9.321613242689716
2026-02-20,823.0046806484133,1000.0,176.99531935158666,8.849765967579334
2026-02-21,568.9843447726175,1000.0,431.01565522738247,21.550782761369124
2026-02-22,570.6357020200683,1000.0,429.36429797993173,21.46821489899659
2026-02-23,819.1546146474064,1000.0,180.84538535259355,9.042269267629678
2026-02-24,815.5121279266071,1000.0,184.48787207339285,9.224393603669643
2026-02-25,818.6675309017749,1000.0,181.33246909822515,9.066623454911257
2026-02-26,819.062380258158,1000.0,180.937619741842,9.0468809870921
2026-02-27,828.1297628850176,1000.0,171.8702371149824,8.593511855749119
2026-02-28,573.78829337539,1000.0,426.21170662461,21.3105853312305
2026-03-01,575.1753572258515,1000.0,424.8246427741485,21.241232138707428
