ds,yhat,yhat_lower,yhat_upper
2026-01-01,806.6803377184633,754.2490498443051,859.0240186043634
2026-01-02,814.4997211802151,763.2663222656919,868.1680955016994
2026-01-03,558.8656600237978,505.6538181665576,605.5022133280631
2026-01-04,558.9103416057316,504.18029162903684,609.6189210021033
2026-01-05,805.8313581824732,756.994486639676,861.2711123634243
2026-01-06,800.6001779113445,747.4668721676084,851.9576246179245
2026-01-07,802.1754209329913,747.732177020447,854.6877695950675
2026-01-08,800.9971301764874,746.9836296903776,847.3634997945641
2026-01-09,808.4963036371225,757.8460517368993,862.1555101784859
2026-01-10,552.5891748900323,500.7535131474205,605.457966242508
2026-01-11,552.4107428208512,496.4556093733521,601.9813540836193
2026-01-12,799.1615946654372,749.4259977719663,850.6792505515111
2026-01-13,793.8163061746424,744.0536834085933,847.6371817597983
2026-01-14,795.3366260963114,742.8147800365068,849.6552994447194
2026-01-15,794.165637530221,744.1144597487354,847.0717439906246
2026-01-16,801.7371665450878,749.4299282756318,853.7857165677075
2026-01-17,545.9699291025322,497.32036375090945,596.5223959892012
2026-01-18,546.0009220185697,496.9112722469103,596.6974273625083
2026-01-19,793.0321071908568,743.5288841996669,843.3644621956989
2026-01-20,788.03867814738,734.8622381103573,841.6908858598097
2026-01-21,789.9821214119987,736.9012663977829,841.8826016608776
2026-01-22,789.3042703280136,738.1237358264563,839.5370334648403
2026-01-23,797.4366264811151,749.0088103930574,848.8118196192762
2026-01-24,542.2944439978526,492.47579223558245,596.2836859435879
2026-01-25,543.0100860363893,491.87991884764267,594.7015675234962
2026-01-26,790.7797054669403,736.8485467915941,839.1188755516195
2026-01-27,786.5715406977915,731.6160599763228,839.2861715740323
2026-01-28,789.3390400379535,741.2060857690395,840.1519463627193
2026-01-29,789.5150121174529,734.0210575188038,839.5492052037907
2026-01-30,798.5210763382661,749.1146378502839,848.6441229558178
2026-01-31,544.2619064168051,496.3735196955374,598.669753088011
2026-02-01,545.8587731325634,497.09448605384847,596.7849693393629
2026-02-02,794.4964341553338,740.1436663334546,844.6819578807398
2026-02-03,791.1316569871017,737.6040961773674,842.6100830538048
2026-02-04,794.7065827639309,743.4857547062954,844.0904933217744
2026-02-05,795.6431223287123,743.8006090086429,845.4811768971588
2026-02-06,805.3526520124584,755.5869803852304,856.0569617136947
2026-02-07,551.7304955270661,497.87652286568175,604.1820335974863
2026-02-08,553.8896914163613,502.78411281713886,606.5838991509161
2026-02-09,803.0080875119481,754.3654411700967,856.098836962616
2026-02-10,800.0370423617935,749.0040506995184,853.9503407816187
2026-02-11,803.9149359768045,753.4391944301894,853.271624271953
2026-02-12,805.0616765670276,750.833961637332,857.9775180062766
2026-02-13,814.8884669484514,766.8508254859877,867.7387878073736
2026-02-14,561.2923142450559,513.6910364310875,611.0321190978506
2026-02-15,563.3897807108466,510.7053581784885,613.9767198836805
2026-02-16,812.3640166337073,759.458062286256,866.8119029016036
2026-02-17,809.1733560879813,759.346289836709,863.7796751494096
2026-02-18,812.7646798267394,761.2592272815776,860.8873054401663
2026-02-19,813.5677351462057,765.1187951600074,866.0922449702355
2026-02-20,823.0046806484133,768.8563854706157,871.9268331566828
2026-02-21,568.9843447726175,518.2030540622379,618.9909536392605
2026-02-22,570.6357020200683,519.2226137843635,624.4504343508252
2026-02-23,819.1546146474064,770.0338177180143,865.5809916644746
2026-02-24,815.5121279266071,760.2130287764951,870.140665502464
2026-02-25,818.6675309017749,762.9611237965196,871.0960312168767
2026-02-26,819.062380258158,767.6609081618983,871.5433360770909
2026-02-27,828.1297628850176,779.4917186525573,878.6178249251996
2026-02-28,573.78829337539,521.5441064147287,623.2446140787595
2026-03-01,575.1753572258515,522.9487443887116,624.1687950896049
